block_id,train_start_idx,train_end_idx,pred_start_idx,pred_end_idx,train_size,pred_size,train_pos_rate,pred_pos_rate,precision,recall,accuracy,f1
0,0,3000,3000,3050,3000,50,0.471,0.54,0.6666666666666666,0.2222222222222222,0.52,0.3333333333333333
1,50,3050,3050,3100,3000,50,0.4723333333333333,0.68,0.75,0.2647058823529412,0.44,0.391304347826087
2,100,3100,3100,3150,3000,50,0.4766666666666667,0.42,0.4,0.09523809523809523,0.56,0.15384615384615385
3,150,3150,3150,3200,3000,50,0.476,0.76,0.6666666666666666,0.15789473684210525,0.3,0.2553191489361702
4,200,3200,3200,3250,3000,50,0.4776666666666667,0.28,0.2857142857142857,0.14285714285714285,0.66,0.19047619047619047
5,250,3250,3250,3300,3000,50,0.4716666666666667,0.54,0.2727272727272727,0.1111111111111111,0.36,0.15789473684210525
6,300,3300,3300,3350,3000,50,0.47333333333333333,0.56,0.4117647058823529,0.25,0.38,0.3111111111111111
7,350,3350,3350,3400,3000,50,0.47533333333333333,0.42,1.0,0.09523809523809523,0.62,0.17391304347826086
8,400,3400,3400,3450,3000,50,0.479,0.42,0.3333333333333333,0.09523809523809523,0.54,0.14814814814814814
9,450,3450,3450,3500,3000,50,0.48,0.48,0.09090909090909091,0.041666666666666664,0.34,0.05714285714285714
10,500,3500,3500,3550,3000,50,0.47933333333333333,0.18,0.08333333333333333,0.1111111111111111,0.62,0.09523809523809523
11,550,3550,3550,3600,3000,50,0.476,0.34,0.35294117647058826,0.35294117647058826,0.56,0.35294117647058826
12,600,3600,3600,3650,3000,50,0.4756666666666667,0.36,0.28,0.3888888888888889,0.42,0.32558139534883723
13,650,3650,3650,3700,3000,50,0.478,0.46,0.26666666666666666,0.17391304347826086,0.4,0.21052631578947367
14,700,3700,3700,3750,3000,50,0.4776666666666667,0.44,0.4,0.2727272727272727,0.5,0.32432432432432434
15,750,3750,3750,3800,3000,50,0.47533333333333333,0.38,0.16666666666666666,0.05263157894736842,0.54,0.08
16,800,3800,3800,3850,3000,50,0.4716666666666667,0.2,0.13333333333333333,0.2,0.58,0.16
17,850,3850,3850,3900,3000,50,0.47,0.42,0.3,0.14285714285714285,0.5,0.1935483870967742
18,900,3900,3900,3950,3000,50,0.468,0.26,0.07407407407407407,0.15384615384615385,0.28,0.1
19,950,3950,3950,4000,3000,50,0.465,0.58,0.25,0.034482758620689655,0.38,0.06060606060606061
20,1000,4000,4000,4050,3000,50,0.4646666666666667,0.56,0.5,0.10714285714285714,0.44,0.17647058823529413
21,1050,4050,4050,4100,3000,50,0.4646666666666667,0.5,0.5454545454545454,0.24,0.52,0.3333333333333333
22,1100,4100,4100,4150,3000,50,0.464,0.48,0.25,0.041666666666666664,0.48,0.07142857142857142
23,1150,4150,4150,4200,3000,50,0.4643333333333333,0.46,1.0,0.043478260869565216,0.56,0.08333333333333333
24,1200,4200,4200,4250,3000,50,0.4593333333333333,0.72,0.7142857142857143,0.1388888888888889,0.34,0.23255813953488372
25,1250,4250,4250,4300,3000,50,0.465,0.18,0.0,0.0,0.8,0.0
26,1300,4300,4300,4350,3000,50,0.4593333333333333,0.2,0.0,0.0,0.8,0.0
27,1350,4350,4350,4400,3000,50,0.449,0.42,0.2857142857142857,0.09523809523809523,0.52,0.14285714285714285
28,1400,4400,4400,4450,3000,50,0.44533333333333336,0.42,0.5,0.047619047619047616,0.58,0.08695652173913043
29,1450,4450,4450,4500,3000,50,0.44266666666666665,0.52,1.0,0.038461538461538464,0.5,0.07407407407407407
30,1500,4500,4500,4550,3000,50,0.44266666666666665,0.7,1.0,0.22857142857142856,0.46,0.37209302325581395
31,1550,4550,4550,4600,3000,50,0.441,0.38,0.5,0.05263157894736842,0.62,0.09523809523809523
32,1600,4600,4600,4650,3000,50,0.44066666666666665,0.28,0.4117647058823529,0.5,0.66,0.45161290322580644
33,1650,4650,4650,4700,3000,50,0.438,0.72,0.9166666666666666,0.3055555555555556,0.48,0.4583333333333333
34,1700,4700,4700,4750,3000,50,0.443,0.7,0.9,0.2571428571428571,0.46,0.4
35,1750,4750,4750,4800,3000,50,0.44466666666666665,0.68,0.7297297297297297,0.7941176470588235,0.66,0.7605633802816901
36,1800,4800,4800,4850,3000,50,0.45,0.4,0.4411764705882353,0.75,0.52,0.5555555555555556
37,1850,4850,4850,4900,3000,50,0.448,0.24,0.16666666666666666,0.16666666666666666,0.6,0.16666666666666666
38,1900,4900,4900,4950,3000,50,0.44266666666666665,0.4,0.0,0.0,0.6,0.0
39,1950,4950,4950,5000,3000,50,0.44166666666666665,0.38,0.3333333333333333,0.05263157894736842,0.6,0.09090909090909091
40,2000,5000,5000,5050,3000,50,0.444,0.48,0.4444444444444444,0.3333333333333333,0.48,0.38095238095238093
41,2050,5050,5050,5100,3000,50,0.44733333333333336,0.16,0.09090909090909091,0.25,0.48,0.13333333333333333
42,2100,5100,5100,5150,3000,50,0.44866666666666666,0.5,0.4,0.08,0.48,0.13333333333333333
43,2150,5150,5150,5200,3000,50,0.449,0.34,0.125,0.058823529411764705,0.54,0.08
44,2200,5200,5200,5250,3000,50,0.4493333333333333,0.34,0.5,0.058823529411764705,0.66,0.10526315789473684
45,2250,5250,5250,5300,3000,50,0.443,0.4,0.5,0.05,0.6,0.09090909090909091
46,2300,5300,5300,5350,3000,50,0.441,0.38,0.42857142857142855,0.15789473684210525,0.6,0.23076923076923078
47,2350,5350,5350,5400,3000,50,0.44,0.3,0.0,0.0,0.6,0.0
48,2400,5400,5400,5450,3000,50,0.43833333333333335,0.36,0.25,0.05555555555555555,0.6,0.09090909090909091
49,2450,5450,5450,5500,3000,50,0.43933333333333335,0.38,0.0,0.0,0.62,0.0
50,2500,5500,5500,5550,3000,50,0.43933333333333335,0.28,0.0,0.0,0.68,0.0
51,2550,5550,5550,5600,3000,50,0.43133333333333335,0.4,1.0,0.05,0.62,0.09523809523809523
